gene_name,tumor_samples_count,normal_samples_count,avg(tumor),avg(normal),avg(tumor)/avg(normal),avg(tumor)=0_count,avg(normal)=0_count
HIBCH,497,52,9.33360382294,9.35706923077,0.997492226758947,0,0
ZNF703,497,52,8.00378913481,7.91257115385,1.0115282351575898,0,0
ITGAL,497,52,7.06918390342,7.02175576923,1.0067544551175622,0,0
ITGAM,497,52,6.35807464789,6.54694230769,0.9711517757559779,0,0
LOC286359,497,52,0.0535937625755,0.00627307692308,8.543456940292891,464,51
HLF,497,52,8.24898269618,9.54442115385,0.8642727058259511,0,0
NOV,497,52,9.03265311871,9.153925,0.9867519253994622,0,0
FAM134C,497,52,11.2189470825,11.1007192308,1.010650467710059,0,0
FAM134B,497,52,9.05991126761,9.01573846154,1.0048995216815146,0,0
FAM134A,497,52,11.692767002,11.5360865385,1.0135817690885172,0,0
SERPING1,497,52,11.6150348089,12.2823134615,0.9456715825748222,0,0
SMAD9,497,52,7.29410301811,8.24363461538,0.8848163896658026,0,0
TRERF1,497,52,7.71477283702,8.83126923077,0.8735746397746442,1,0
LOC653501,497,52,7.38260100604,7.75627307692,0.9518232445942847,0,0
LRPAP1,497,52,11.7742317907,11.7617480769,1.001061382520672,0,0
LQK1,497,52,4.73755291751,4.73198076923,1.0011775509128216,0,0
SMAD6,497,52,6.71281911469,7.63592115385,0.8791105852771849,0,0
SMAD7,497,52,8.64985995976,9.17734230769,0.9425234092563347,0,0
GOLPH3L,497,52,10.122538833,10.0121711538,1.0110233512248175,0,0
SMAD1,497,52,8.84646841046,9.17663076923,0.9640213966246711,0,0
AFTPH,497,52,10.998384507,10.9077730769,1.0083070512633674,0,0
SMAD3,497,52,9.86743923541,10.4478826923,0.944443915194169,0,0
MUS81,497,52,9.07734567404,8.98989230769,1.0097279659598513,0,0
AMMECR1L,497,52,9.2374694165,9.20199615385,1.0038549529971288,0,0
IL1RAPL1,497,52,2.66054386318,1.98423653846,1.340840072041968,39,4
TMPRSS11B,497,52,0.0604221327968,0.136203846154,0.44361546683881564,470,46
IGF2R,497,52,11.8462565392,11.5970903846,1.0214852300324027,1,0
TMPRSS11D,497,52,0.674509255533,1.57059807692,0.4294601307895493,242,13
TMPRSS11F,497,52,1.18175955734,0.836398076923,1.412915201445101,117,18
ZC3H10,497,52,7.43948008048,7.570275,0.9827225669454408,0,0
RAD21L1,497,52,0.0508977867203,0.509673076923,0.09986359693079049,454,39
IL1RAPL2,497,52,0.620662173038,1.43322115385,0.4330540135921362,197,4
SLC36A3,497,52,0.126867605634,0.256661538462,0.49429924870809716,398,35
CKS1B,497,52,7.92174587525,8.19998653846,0.9660681560994082,0,0
SLC36A1,497,52,10.0030440644,9.40858846154,1.063182230286503,0,0
ST13,497,52,12.5455704225,12.6207884615,0.9940401473939225,0,0
RPL31P11,497,52,2.4612084507,2.44285,1.0075151772332418,1,0
C14orf115,497,52,0.337663179074,0.377698076923,0.894002907891999,309,35
ZC3H15,497,52,10.1669376258,10.2656346154,0.9903856903807803,0,0
TMEM213,497,52,1.32985955734,3.64171153846,0.3651743262196629,116,4
C14orf118,497,52,7.33551428571,7.771525,0.943896376285772,0,0
ARTN,497,52,5.40959496982,5.512675,0.9813012684076086,0,0
ART1,497,52,0.45610221328,0.705971153846,0.6460635265262871,273,20
HRH3,497,52,2.62342655936,2.16363846154,1.2125068979827347,16,4
ART3,497,52,2.40925472837,2.98546153846,0.8069957349414568,27,0
HERC2P2,497,52,9.23932796781,8.54468653846,1.0812951330886824,0,0
ART5,497,52,3.05046820926,3.84443653846,0.793476021450016,4,0
ART4,497,52,2.87085935614,2.66279230769,1.0781386696376756,20,2
RNF111,497,52,8.9808861167,9.37215,0.9582524945396947,0,0
TCEA2,497,52,9.05038350101,9.09341538462,0.9952677974348173,0,0
TCEA3,497,52,11.3319676056,10.7092769231,1.0581449790709092,0,0
TCEA1,497,52,10.6032623742,10.5718269231,1.0029735117115788,0,0
MGC57346,497,52,7.71797183099,7.78139615385,0.9918492361002736,0,0
COX4I2,497,52,4.42943460765,4.45784230769,0.9936274775809336,0,0
COX4I1,497,52,12.4879400402,12.5879096154,0.9920582862287962,0,0
BFAR,497,52,10.0001668008,10.0069442308,0.9993227273173398,0,0
ZC3H18,497,52,9.5763195171,9.734275,0.9837732668434597,0,0
TMEM212,497,52,0.495096177062,0.275742307692,1.7955031319127015,298,30
SNORD115-13,497,52,0.0750175050302,0.0471711538462,1.5903258435196774,440,48
TCEB3B,497,52,0.199196981891,0.159540384615,1.2485677677884912,356,36
SIPA1,497,52,9.39557444668,9.30693653846,1.009523854369506,0,0
CRTAM,497,52,3.04806297787,3.14113461538,0.9703700576659251,3,0
EDA,497,52,7.72512334004,8.02049615385,0.9631727503959626,0,0
OR6P1,497,52,0.0022893360161,0.0,n/a,495,52
CCDC116,497,52,2.70768410463,2.22470384615,1.2170986755423268,0,0
CADPS2,497,52,10.2047599598,10.2231711538,0.9981990721068309,0,0
CCDC114,497,52,3.51907867203,3.25988846154,1.0795089198761756,1,0
CCDC115,497,52,9.87828853119,10.1985884615,0.9685936998478493,0,0
CCDC112,497,52,8.11516197183,7.74596923077,1.0476625623033997,0,0
CCDC113,497,52,7.73800160966,7.80119230769,0.9918998666431986,0,0
CCDC110,497,52,6.42707344064,5.43273461538,1.1830273141712906,0,0
CCDC111,497,52,7.34620462777,7.65478846154,0.9596874772800915,0,0
LEO1,497,52,9.31734527163,8.88676538462,1.0484518121475115,0,0
ATP1A4,497,52,1.10452575453,2.59900961538,0.4249794798714929,104,7
ATP1A3,497,52,2.76315291751,2.82383461538,0.9785108881557782,9,0
ATP1A2,497,52,8.44575231388,10.5972346154,0.7969770058334007,0,0
ATP1A1,497,52,13.9102152918,14.2171365385,0.978411880206628,0,0
KGFLP2,497,52,6.75135251509,6.84761346154,0.9859424094264966,0,0
MGRN1,497,52,10.9654975855,10.7421538462,1.02079133687321,0,0
TCP1,497,52,12.0255810865,11.6848403846,1.0291609205336136,1,0
CRTAP,497,52,11.8410140845,12.3954942308,0.9552676048296801,0,0
CBLC,497,52,9.06289496982,8.04953269231,1.12589082077766,0,0
SPHK1,497,52,6.20780120724,5.86628846154,1.0582161528441847,0,0
DPT,497,52,6.87921488934,9.08338076923,0.7573408033976522,0,0
BPESC1,497,52,0.126939637827,0.0686173076923,1.8499652944149583,414,44
CUEDC1,497,52,8.58988289738,8.95275576923,0.9594680251310328,0,0
CUEDC2,497,52,10.3121668008,10.0763134615,1.0234067092262091,0,0
CBLB,497,52,8.51070744467,8.39234423077,1.0141037129369432,0,0
CPEB4,497,52,9.37700462777,9.98009615385,0.939570569583427,0,0
CPEB1,497,52,3.20033098592,5.08766923077,0.6290367633494165,10,0
ZNF45,497,52,7.98758692153,8.12230769231,0.9834134859350248,0,0
CPEB3,497,52,8.26060060362,8.35801153846,0.9883452021582471,0,0
CPEB2,497,52,8.79599195171,9.23116538462,0.9528582346027099,0,0
BEGAIN,497,52,4.81472716298,5.69206346154,0.8458667398055562,0,0
RBMXL3,497,52,0.0400132796781,0.0391288461538,1.022603107710993,467,49
OSGEP,497,52,8.58687263581,8.64451153846,0.9933323123706643,0,0
